UN-Nummer;Benennung und Beschreibung;Klasse;Klassifizierungscode;Verpackungsgruppe;Gefahrzettel;Sondervorschriften;Begrenzte und freigestellte Mengen A;Begrenzte und freigestellte Mengen B;Verpackung_Anweisungen;Verpackung_Sondervorschriften;Verpackung_Zusammenpackung;Tank_Anweisungen;Tank_Sondervorschriften;ADR-Tanks_Tankcodierung;ADR-Tanks_Sondervorschriften;Fahrzeug_Befoerderung_Tanks;Befoerderungskategorie;Sondervorschriften_Versandstuecke;Sondervorschriften_SchuettGut;Sondervorschriften_Handhabung;Sondervorschriften_Betrieb;Nummer_Gefahr
1263;FARBE (einschliesslich Farbe, Lack, Emaille, Beize, Schellack, Firnis, Politur, flüssiger Füllstoff und flüssige Lackgrundlage) oder FARBZUBEHÖRSTOFFE (einschliesslich Farbverdünnung und -lösemittel) (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;II;3;163 367 640C 650;5 L;E2;P001;PP1;MP19;T4;TP1 TP8 TP28;L1,5BN;-;FL;2 (D/E);-;-;-;S2 S20;33
1263;FARBE (einschliesslich Farbe, Lack, Emaille, Beize, Schellack, Firnis, Politur, flüssiger Füllstoff und flüssige Lackgrundlage) oder FARBZUBEHÖRSTOFFE (einschliesslich Farbverdünnung und -lösemittel) (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;II;3;163 367 640D 650;5 L;E2;P001 IBC02 R001;PP1;MP19;T4;TP1 TP8 TP28;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1263;FARBE (einschliesslich Farbe, Lack, Emaille, Beize, Schellack, Firnis, Politur, flüssiger Füllstoff und flüssige Lackgrundlage) oder FARBZUBEHÖRSTOFFE (einschliesslich Farbverdünnung und -lösemittel);3;F1;III;3;163 367 650;5 L;E1;P001 IBC03 LP01 R001;PP1;MP19;T2;TP1 TP29;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1263;FARBE (einschliesslich Farbe, Lack, Emaille, Beize, Schellack, Firnis, Politur, flüssiger Füllstoff und flüssige Lackgrundlage) oder FARBZUBEHÖRSTOFFE (einschliesslich Farbverdünnung und -lösemittel) (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;III;3;163 367 650;5 L;E1;P001 R001;PP1;MP19;-;-;-;-;-;3 (E);-;-;-;S2;-
1263;FARBE (einschliesslich Farbe, Lack, Emaille, Beize, Schellack, Firnis, Politur, flüssiger Füllstoff und flüssige Lackgrundlage) oder FARBZUBEHÖRSTOFFE (einschliesslich Farbverdünnung und -lösemittel) (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;III;3;163 367 650;5 L;E1;P001 IBC02 R001;PP1 BB4;MP19;-;-;-;-;-;3 (E);-;-;-;S2;-
1264;PARALDEHYD;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1265;PENTANE, flüssig;3;F1;I;3;-;0;E3;P001;-;MP7 MP17;T11;TP2;L4BN;-;FL;1 (D/E);-;-;-;S2 S20;33
1265;PENTANE, flüssig;3;F1;II;3;-;1 L;E2;P001 IBC02;B8;MP19;T4;TP1;L1,5BN;-;FL;2 (D/E);-;-;-;S2 S20;33
1266;PARFÜMERIEERZEUGNISSE mit entzündbaren Lösungsmitteln (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;II;3;163 640C;5 L;E2;P001;-;MP19;T4;TP1 TP8;L1,5BN;-;FL;2 (D/E);-;-;-;S2 S20;33
1266;PARFÜMERIEERZEUGNISSE mit entzündbaren Lösungsmitteln (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;II;3;163 640D;5 L;E2;P001 IBC02 R001;-;MP19;T4;TP1 TP8;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1266;PARFÜMERIEERZEUGNISSE mit entzündbaren Lösungsmitteln;3;F1;III;3;163;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1266;PARFÜMERIEERZEUGNISSE mit entzündbaren Lösungsmitteln (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;III;3;163;5 L;E1;P001 R001;-;MP19;-;-;-;-;-;3 (E);-;-;-;S2;-
1266;PARFÜMERIEERZEUGNISSE mit entzündbaren Lösungsmitteln (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;III;3;163;5 L;E1;P001 IBC02 R001;BB4;MP19;-;-;-;-;-;3 (E);-;-;-;S2;-
1267;ROHERDÖL;3;F1;I;3;357;500 ml;E3;P001;-;MP7 MP17;T11;TP1 TP8;L4BN;-;FL;1 (D/E);-;-;-;S2 S20;33
1267;ROHERDÖL (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;II;3;357 640C;1 L;E2;P001;-;MP19;T4;TP1 TP8;L1,5BN;-;FL;2 (D/E);-;-;-;S2 S20;33
1267;ROHERDÖL (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;II;3;357 640D;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1 TP8;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1267;ROHERDÖL;3;F1;III;3;357;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1268;ERDÖLDESTILLATE, N.A.G. oder ERDÖLPRODUKTE, N.A.G.;3;F1;I;3;664;500 ml;E3;P001;-;MP7 MP17;T11;TP1 TP8;L4BN;-;FL;1 (D/E);-;-;-;S2 S20;33
1268;ERDÖLDESTILLATE, N.A.G. oder ERDÖLPRODUKTE, N.A.G. (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;II;3;640C 664;1 L;E2;P001;-;MP19;T7;TP1 TP8 TP28;L1,5BN;-;FL;2 (D/E);-;-;-;S2 S20;33
1268;ERDÖLDESTILLATE, N.A.G. oder ERDÖLPRODUKTE, N.A.G. (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;II;3;640D 664;1 L;E2;P001 IBC02 R001;-;MP19;T7;TP1 TP8 TP28;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1268;ERDÖLDESTILLATE, N.A.G. oder ERDÖLPRODUKTE, N.A.G.;3;F1;III;3;664;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T4;TP1 TP29;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1272;KIEFERNÖL;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1274;n-PROPANOL (nPROPYLALKOHOL);3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1274;n-PROPANOL (nPROPYLALKOHOL);3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1275;PROPIONALDEHYD;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T7;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1276;n-PROPYLACETAT;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1277;PROPYLAMIN;3;FC;II;3+8;-;1 L;E2;P001 IBC02;-;MP19;T7;TP1;L4BH;-;FL;2 (D/E);-;-;-;S2 S20;338
1278;1-CHLORPROPAN;3;F1;II;3;-;1 L;E0;P001 IBC02;B8;MP19;T7;TP2;L1,5BN;-;FL;2 (D/E);-;-;-;S2 S20;33
1279;1,2-DICHLORPROPAN;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1280;PROPYLENOXID;3;F1;I;3;-;0;E3;P001;-;MP7 MP17;T11;TP2 TP7;L4BN;-;FL;1 (D/E);-;-;-;S2 S20;33
1281;PROPYLFORMIATE;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1282;PYRIDIN;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP2;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1286;HARZÖL (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;II;3;640C;5 L;E2;P001;-;MP19;T4;TP1;L1,5BN;-;FL;2 (D/E);-;-;-;S2 S20;33
1286;HARZÖL (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;II;3;640D;5 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1286;HARZÖL;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1286;HARZÖL (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;III;3;-;5 L;E1;P001 R001;-;MP19;-;-;-;-;-;3 (E);-;-;-;S2;-
1286;HARZÖL (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;III;3;-;5 L;E1;P001 IBC02 R001;BB4;MP19;-;-;-;-;-;3 (E);-;-;-;S2;-
1287;GUMMILÖSUNG (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;II;3;640C;5 L;E2;P001;-;MP19;T4;TP1 TP8;L1,5BN;-;FL;2 (D/E);-;-;-;S2 S20;33
1287;GUMMILÖSUNG (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;II;3;640D;5 L;E2;P001 IBC02 R001;-;MP19;T4;TP1 TP8;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1287;GUMMILÖSUNG;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1287;GUMMILÖSUNG (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;III;3;-;5 L;E1;P001 R001;-;MP19;-;-;-;-;-;3 (E);-;-;-;S2;-
1287;GUMMILÖSUNG (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;III;3;-;5 L;E1;P001 IBC02 R001;BB4;MP19;-;-;-;-;-;3 (E);-;-;-;S2;-
1288;SCHIEFERÖL;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1 TP8;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1288;SCHIEFERÖL;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1289;NATRIUMMETHYLAT, LÖSUNG in Alkohol;3;FC;II;3+8;-;1 L;E2;P001 IBC02;-;MP19;T7;TP1 TP8;L4BH;-;FL;2 (D/E);-;-;-;S2 S20;338
1289;NATRIUMMETHYLAT, LÖSUNG in Alkohol;3;FC;III;3+8;-;5 L;E1;P001 IBC02 R001;-;MP19;T4;TP1;L4BN;-;FL;3 (D/E);-;-;-;S2;38
1292;TETRAETHYLSILICAT;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1293;TINKTUREN, MEDIZINISCHE;3;F1;II;3;601;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1 TP8;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1293;TINKTUREN, MEDIZINISCHE;3;F1;III;3;601;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1294;TOLUEN;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1295;TRICHLORSILAN;4.3;WFC;I;4.3+3 +8;-;0;E0;P401;RR7;MP2;T14;TP2 TP7;L10DH;TU14 TU25 TE21 TM2 TM3;FL;0 (B/E);V1;-;CV23;S2 S20;X338
1296;TRIETHYLAMIN;3;FC;II;3+8;-;1 L;E2;P001 IBC02;-;MP19;T7;TP1;L4BH;-;FL;2 (D/E);-;-;-;S2 S20;338
1297;TRIMETHYLAMIN, WÄSSERIGE LÖSUNG mit höchstens 50 Masse-% Trimethylamin;3;FC;I;3+8;-;0;E0;P001;-;MP7 MP17;T11;TP1;L10CH;TU14 TE21;FL;1 (C/E);-;-;-;S2 S20;338
1297;TRIMETHYLAMIN, WÄSSERIGE LÖSUNG mit höchstens 50 Masse-% Trimethylamin;3;FC;II;3+8;-;1 L;E2;P001 IBC02;-;MP19;T7;TP1;L4BH;-;FL;2 (D/E);-;-;-;S2 S20;338
1297;TRIMETHYLAMIN, WÄSSERIGE LÖSUNG mit höchstens 50 Masse-% Trimethylamin;3;FC;III;3+8;-;5 L;E1;P001 IBC03 R001;-;MP19;T7;TP1;L4BN;-;FL;3 (D/E);V12;-;-;S2;38
1298;TRIMETHYLCHLORSILAN;3;FC;II;3+8;-;0;E0;P010;-;MP19;T10;TP2 TP7;L4BH;-;FL;2 (D/E);-;-;-;S2 S20;X338
1299;TERPENTIN;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1300;TERPENTINÖLERSATZ;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1300;TERPENTINÖLERSATZ;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1301;VINYLACETAT, STABILISIERT;3;F1;II;3;386 676;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);V8;-;-;S2 S4 S20;339
1302;VINYLETHYLETHER, STABILISIERT;3;F1;I;3;386 676;0;E3;P001;-;MP7 MP17;T11;TP2;L4BN;-;FL;1 (D/E);V8;-;-;S2 S4 S20;339
1303;VINYLIDENCHLORID, STABILISIERT;3;F1;I;3;386 676;0;E3;P001;-;MP7 MP17;T12;TP2 TP7;L4BN;-;FL;1 (D/E);V8;-;-;S2 S4 S20;339
1304;VINYLISOBUTYLETHER, STABILISIERT;3;F1;II;3;386 676;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);V8;-;-;S2 S4 S20;339
1305;VINYLTRICHLORSILAN;3;FC;II;3+8;-;0;E0;P010;-;MP19;T10;TP2 TP7;L4BH;-;FL;2 (D/E);-;-;-;S2 S20;X338
1306;HOLZSCHUTZMITTEL, FLÜSSIG (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;II;3;640C;5 L;E2;P001;-;MP19;T4;TP1 TP8;L1,5BN;-;FL;2 (D/E);-;-;-;S2 S20;33
1306;HOLZSCHUTZMITTEL, FLÜSSIG (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;II;3;640D;5 L;E2;P001 IBC02 R001;-;MP19;T4;TP1 TP8;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1306;HOLZSCHUTZMITTEL, FLÜSSIG;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1306;HOLZSCHUTZMITTEL, FLÜSSIG (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;III;3;-;5 L;E1;P001 R001;-;MP19;-;-;-;-;-;3 (E);-;-;-;S2;-
1306;HOLZSCHUTZMITTEL, FLÜSSIG (mit einem Flammpunkt unter 23 °C und viskos gemäss 2.2.3.1.4) (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;III;3;-;5 L;E1;P001 IBC02 R001;BB4;MP19;-;-;-;-;-;3 (E);-;-;-;S2;-
1307;XYLENE;3;F1;II;3;-;1 L;E2;P001 IBC02 R001;-;MP19;T4;TP1;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1307;XYLENE;3;F1;III;3;-;5 L;E1;P001 IBC03 LP01 R001;-;MP19;T2;TP1;LGBF;-;FL;3 (D/E);V12;-;-;S2;30
1308;ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF;3;F1;I;3;-;0;E0;P001;PP33;MP7 MP17;-;-;L4BN;-;FL;1 (D/E);-;-;-;S2 S20;33
1308;ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF (Dampfdruck bei 50 °C grösser als 110 kPa);3;F1;II;3;640C;1 L;E2;P001 R001;PP33;MP19;-;-;L1,5BN;-;FL;2 (D/E);-;-;-;S2 S20;33
1308;ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF (Dampfdruck bei 50 °C höchstens 110 kPa);3;F1;II;3;640D;1 L;E2;P001 R001;PP33;MP19;-;-;LGBF;-;FL;2 (D/E);-;-;-;S2 S20;33
1308;ZIRKONIUM, SUSPENDIERT IN EINEM ENTZÜNDBAREN FLÜSSIGEN STOFF;3;F1;III;3;-;5 L;E1;P001 R001;-;MP19;-;-;LGBF;-;FL;3 (D/E);-;-;-;S2;30
1309;ALUMINIUM-PULVER, ÜBERZOGEN;4.1;F3;II;4.1;-;1 kg;E2;P002 IBC08;PP38 B4;MP11;T3;TP33;SGAN;-;AT;2 (E);V11;-;-;-;40
1309;ALUMINIUM-PULVER, ÜBERZOGEN;4.1;F3;III;4.1;-;5 kg;E1;P002 IBC08 LP02 R001;PP11 B3;MP11;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1310;AMMONIUMPIKRAT, ANGEFEUCHTET mit mindestens 10 Masse-% Wasser;4.1;D;I;4.1;-;0;E0;P406;PP26;MP2;-;-;-;-;-;1 (B);-;-;-;S14;-
1312;BORNEOL;4.1;F1;III;4.1;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1313;CALCIUMRESINAT;4.1;F3;III;4.1;-;5 kg;E1;P002 IBC06 R001;-;MP11;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1314;CALCIUMRESINAT, GESCHMOLZEN und erstarrt;4.1;F3;III;4.1;-;5 kg;E1;P002 IBC04 R001;-;MP11;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1318;COBALTRESINAT, GEFÄLLT;4.1;F3;III;4.1;-;5 kg;E1;P002 IBC06 R001;-;MP11;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1320;DINITROPHENOL, ANGEFEUCHTET mit mindestens 15 Masse-% Wasser;4.1;DT;I;4.1+ 6.1;-;0;E0;P406;PP26;MP2;-;-;-;-;-;1 (B);-;-;CV28;S14;-
1321;DINITROPHENOLATE, ANGEFEUCHTET mit mindestens 15 Masse-% Wasser;4.1;DT;I;4.1+ 6.1;-;0;E0;P406;PP26;MP2;-;-;-;-;-;1 (B);-;-;CV28;S14;-
1322;DINITRORESORCINOL, ANGEFEUCHTET mit mindestens 15 Masse-% Wasser;4.1;D;I;4.1;-;0;E0;P406;PP26;MP2;-;-;-;-;-;1 (B);-;-;-;S14;-
1323;CEREISEN;4.1;F3;II;4.1;249;1 kg;E2;P002 IBC08;B4;MP11;T3;TP33;SGAN;-;AT;2 (E);V11;-;-;-;40
1324;FILME AUF NITROCELLULOSEBASIS, gelatiniert, ausgenommen Abfälle;4.1;F1;III;4.1;-;5 kg;E1;P002 R001;PP15;MP11;-;-;-;-;-;3 (E);-;-;-;-;-
1325;ENTZÜNDBARER ORGANISCHER FESTER STOFF, N.A.G.;4.1;F1;II;4.1;274;1 kg;E2;P002 IBC08;B4;MP10;T3;TP33;SGAN;-;AT;2 (E);V11;-;-;-;40
1325;ENTZÜNDBARER ORGANISCHER FESTER STOFF, N.A.G.;4.1;F1;III;4.1;274;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1326;HAFNIUM-PULVER, ANGEFEUCHTET mit mindestens 25 % Wasser;4.1;F3;II;4.1;586;1 kg;E2;P410 IBC06;PP40;MP11;T3;TP33;SGAN;-;AT;2 (E);V11;-;-;-;40
1327;Heu oder Stroh oder Bhusa;4.1;F1;UNTERLIEGT NICHT DEN VORSCHRIFTEN DES ADR;-;-;-;-;-;-;-;-;-;UNTERLIEGT NICHT DEN VORSCHRIFTEN DES ADR;1327;Heu oder Stroh oder Bhusa;-;-;-;-;-;-
1328;HEXAMETHYLENTETRAMIN;4.1;F1;III;4.1;-;5 kg;E1;P002 IBC08 R001;B3;MP10;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1330;MANGANRESINAT;4.1;F3;III;4.1;-;5 kg;E1;P002 IBC06 R001;-;MP11;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1331;ZÜNDHÖLZER, ÜBERALL ZÜNDBAR;4.1;F1;III;4.1;293;5 kg;E0;P407;PP27;MP12;-;-;-;-;-;4 (E);-;-;-;-;-
1332;METALDEHYD;4.1;F1;III;4.1;-;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1333;CER, Platten, Barren, Stangen;4.1;F3;II;4.1;-;1 kg;E2;P002 IBC08;B4;MP11;-;-;-;-;-;2 (E);V11;-;-;-;-
1334;NAPHTHALEN, ROH oder NAPHTHALEN, RAFFINIERT;4.1;F1;III;4.1;501;5 kg;E1;P002 IBC08 LP02 R001;B3;MP10;T1 BK1 BK2 BK3;TP33;SGAV;-;AT;3 (E);-;VC1 VC2 AP1;-;-;40
1336;NITROGUANIDIN (PICRIT), ANGEFEUCHTET mit mindestens 20 Masse-% Wasser;4.1;D;I;4.1;-;0;E0;P406;-;MP2;-;-;-;-;-;1 (B);-;-;-;S14;-
1337;NITROSTÄRKE, ANGEFEUCHTET mit mindestens 20 Masse-% Wasser;4.1;D;I;4.1;-;0;E0;P406;-;MP2;-;-;-;-;-;1 (B);-;-;-;S14;-
1338;PHOSPHOR, AMORPH;4.1;F3;III;4.1;-;5 kg;E1;P410 IBC08 R001;B3;MP11;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1339;PHOSPHORHEPTASULFID (chemische Formel P4S7), frei von gelbem oder weissem Phosphor;4.1;F3;II;4.1;602;1 kg;E2;P410 IBC04;-;MP11;T3;TP33;SGAN;-;AT;2 (E);-;-;-;-;40
1340;PHOSPHORPENTASULFID (chemische Formel P2S5), frei von gelbem oder weissem Phosphor;4.3;WF2;II;4.3+ 4.1;602;500 g;E2;P410 IBC04;-;MP14;T3;TP33;SGAN;-;AT;0 (D/E);V1;-;CV23;-;423
1341;PHOSPHORSESQUISULFID (chemische Formel P4S3), frei von gelbem oder weissem Phosphor;4.1;F3;II;4.1;602;1 kg;E2;P410 IBC04;-;MP11;T3;TP33;SGAN;-;AT;2 (E);-;-;-;-;40
1343;PHOSPHORTRISULFID (chemische Formel P4S6), frei von gelbem oder weissem Phosphor;4.1;F3;II;4.1;602;1 kg;E2;P410 IBC04;-;MP11;T3;TP33;SGAN;-;AT;2 (E);-;-;-;-;40
1344;TRINITROPHENOL (PIKRINSÄURE), ANGEFEUCHTET mit mindestens 30 Masse-% Wasser;4.1;D;I;4.1;-;0;E0;P406;PP26;MP2;-;-;-;-;-;1 (B);-;-;-;S14;-
1345;KAUTSCHUK- (Gummi-) ABFÄLLE, gemahlen oder KAUTSCHUK- (Gummi-) RESTE, pulverförmig oder granuliert, höchstens 840 μm und mehr als 45 % KautschukGehalt;4.1;F1;II;4.1;-;1 kg;E2;P002 IBC08;B4;MP11;T3;TP33;SGAN;-;AT;4 (E);V11;-;-;-;40
1346;SILICIUM-PULVER, AMORPH;4.1;F3;III;4.1;32;5 kg;E1;P002 IBC08 LP02 R001;B3;MP11;T1;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1347;SILBERPIKRAT, ANGEFEUCHTET mit mindestens 30 Masse-% Wasser;4.1;D;I;4.1;-;0;E0;P406;PP25 PP26;MP2;-;-;-;-;-;1 (B);-;-;-;S14;-
1348;NATRIUMDINITROORTHOCRESOLAT, ANGEFEUCHTET mit mindestens 15 Masse-%;4.1;DT;I;4.1+ 6.1;-;0;E0;P406;PP26;MP2;-;-;-;-;-;1 (B);-;-;CV28;S14;-
1349;NATRIUMPIKRAMAT, ANGEFEUCHTET mit mindestens 20 Masse-% Wasser;4.1;D;I;4.1;-;0;E0;P406;PP26;MP2;-;-;-;-;-;1 (B);-;-;-;S14;-
1350;SCHWEFEL;4.1;F3;III;4.1;242;5 kg;E1;P002 IBC08 LP02 R001;B3;MP11;T1 BK1 BK2 BK3;TP33;SGAV;-;AT;3 (E);-;VC1 VC2;-;-;40
1352;TITAN-PULVER, ANGEFEUCHTET mit mindestens 25 % Wasser;4.1;F3;II;4.1;586;1 kg;E2;P410 IBC06;PP40;MP11;T3;TP33;SGAN;-;AT;2 (E);V11;-;-;-;40
1353;FASERN, IMPRÄGNIERT MIT SCHWACH NITRIERTER CELLULOSE, N.A.G. oder GEWEBE, IMPRÄGNIERT MIT SCHWACH NITRIERTER CELLULOSE, N.A.G.;4.1;F1;III;4.1;502;5 kg;E1;P410 IBC08 R001;B3;MP11;-;-;-;-;-;3 (E);-;-;-;-;-
1354;TRINITROBENZEN, ANGEFEUCHTET mit mindestens 30 Masse-% Wasser;4.1;D;I;4.1;-;0;E0;P406;-;MP2;-;-;-;-;-;1 (B);-;-;-;S14;-
1355;TRINITROBENZOESÄURE, ANGEFEUCHTET mit mindestens 30 Masse-% Wasser;4.1;D;I;4.1;-;0;E0;P406;-;MP2;-;-;-;-;-;1 (B);-;-;-;S14;-
1356;TRINITROTOLUEN (TNT), ANGEFEUCHTET mit mindestens 30 Masse-% Wasser;4.1;D;I;4.1;-;0;E0;P406;-;MP2;-;-;-;-;-;1 (B);-;-;-;S14;-
1357;HARNSTOFFNITRAT, ANGEFEUCHTET mit mindestens 20 Masse-% Wasser;4.1;D;I;4.1;227;0;E0;P406;-;MP2;-;-;-;-;-;1 (B);-;-;-;S14;-
1358;ZIRKONIUM-PULVER, ANGEFEUCHTET mit mindestens 25 % Wasser;4.1;F3;II;4.1;586;1 kg;E2;P410 IBC06;PP40;MP11;T3;TP33;SGAN;-;AT;2 (E);V11;-;-;-;40
1360;CALCIUMPHOSPHID;4.3;WT2;I;4.3+ 6.1;-;0;E0;P403;-;MP2;-;-;-;-;-;1 (E);V1;-;CV23 CV28;S20;-
1361;KOHLE oder RUSS, tierischen oder pflanzlichen Ursprungs;4.2;S2;II;4.2;-;0;E0;P002 IBC06;PP12;MP14;T3;TP33;SGAN;TU11;AT;2 (D/E);V1 V13;-;-;-;40
